lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 843| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18183424| A A|    5 |     |   |  |
    |  3 | 843| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18176424| A A|    4 |     |   |  |
  2 |  * | 843| 4|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 843| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18103120| A A|    3 |     |   |  |
    |  3 | 843| 5| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    84672 |   0.87 |18029816| A A|   63 |  15 | 15| 2|
    |  3 | 843| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17989664| A A|    1 |     |   |  |
  2 |  * | 843| 7|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 843| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17993720| A A|    0 |     |   |  |
    |  3 | 843| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18008832| A A|    7 |     |   |  |
    |  3 | 843| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18012888| A A|    6 |     |   |  |
    |  3 | 844| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18028000| A A|    5 |     |   |  |
  2 |  * | 844| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 844| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18032056| A A|    4 |     |   |  |
    |  3 | 844| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18036112| A A|    3 |     |   |  |
    |  3 | 844| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18066016| A A|    2 |     |   |  |
    |  3 | 844| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18070080| A A|   63 |  15 |   |  |
lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
  2 |  * | 844| 5|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  2 | 844| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |         | 3 |   |      576 |   0.21 |        |    |      |     |   |  |
    |  3 | 844| 5| 3000860|13487| Mimo|64QAM| 27 | 27 | 48 |     0 |  Y |     |  Y |     | 29296 | 29296 | 58592 |         | 0 | 0 |    72720 |   0.81 |18074136| A A|   63 |  15 | 15| 2|
    |  3 | 844| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |         | 3 |   |      528 |   0.23 |        |    |      |     |   |  |
    |  3 | 844| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18100296| A A|    7 |     |   |  |
    |  3 | 844| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18104352| A A|    6 |     |   |  |
  2 |  * | 844| 8|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 844| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18108408| A A|    5 |     |   |  |
    |  3 | 844| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18123520| A A|    4 |     |   |  |
    |  3 | 845| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18127576| A A|    3 |     |   |  |
