lost|cell|sfn |sf|bbUeRef |rnti |pucchPwr|puschPwr|gain|puschTpc|sinr |dtx|modulation|mcs|prb|prbSt|prbEn|ndf|bler|tbs    |sr|bsr    |phr|pucchIntNoisePower|puschIntNoisePower|harq|procId|
    |  3 | 873| 9| 3000860|13487| -115.1 |        |    |        |   7 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
  2 |  * | 874| 0|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 0| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 1| 3000860|13487| -113.9 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 874| 2|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 2| 3000860|13487| -114.7 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 3| 3000860|13487| -114.3 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 874| 4|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 4| 3000860|13487|        |  -96.7 |    |        |  25 | N |    16QAM |   | 2 |  46 |  47 | Y |    |  1000 |  |     0 |   |                  |                  | ACK|    0 |
    |  3 | 874| 5| 3000860|13487|        |  -96.6 |    |        |  26 | N |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |       |   |                  |                  |    |    1 |
  2 |  * | 874| 6|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 6| 3000860|13487| -114.1 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 874| 7|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 7| 3000860|13487| -115.0 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  4 |  * | 874| 8|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 8| 3000860|13487| -114.8 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 874| 9| 3000860|13487| -114.2 |        |    |        |   8 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
